Gene1,Gene2
SIRT1,MYC
MYC,SIRT1
SIRT1,HDAC1
HDAC1,SIRT1
SIRT1,BCL6
BCL6,SIRT1
SIRT1,APEX1
APEX1,SIRT1
SIRT1,CLOCK
CLOCK,SIRT1
SIRT1,MCM10
SIRT1,ARNTL
ARNTL,SIRT1
SIRT1,NCOR2
NCOR2,SIRT1
SIRT1,FHL2
FHL2,SIRT1
SIRT1,FOXM1
FOXM1,SIRT1
SIRT1,JUN
JUN,SIRT1
SIRT1,MYCN
MYCN,SIRT1
SIRT1,TAF1A
TAF1A,SIRT1
SIRT1,POLR2G
POLR2G,SIRT1
SIRT1,HIST1H2BD
HIST1H2BD,SIRT1
SIRT1,MTA3
MTA3,SIRT1
SIRT1,HDAC5
HDAC5,SIRT1
SIRT1,XRCC6
XRCC6,SIRT1
SIRT1,TP53
TP53,SIRT1
SIRT1,CREB1
CREB1,SIRT1
SIRT1,TBP
TBP,SIRT1
SIRT1,HIST1H2BN
HIST1H2BN,SIRT1
SIRT1,NFKB1
NFKB1,SIRT1
SIRT1,SMARCD2
SMARCD2,SIRT1
SIRT1,HES1
HES1,SIRT1
SIRT1,HNF4A
HNF4A,SIRT1
SIRT1,PARP1
PARP1,SIRT1
SIRT1,SUV39H2
SUV39H2,SIRT1
SIRT1,HIST1H1E
HIST1H1E,SIRT1
SIRT1,PPARA
PPARA,SIRT1
SIRT1,FOSB
FOSB,SIRT1
SIRT1,GATAD2A
GATAD2A,SIRT1
SIRT1,EHMT2
EHMT2,SIRT1
SIRT1,EP300
EP300,SIRT1
SIRT1,MDM2
MDM2,SIRT1
SIRT1,DNMT1
DNMT1,SIRT1
SIRT1,RELA
RELA,SIRT1
SIRT1,NR1H2
NR1H2,SIRT1
SIRT1,UCP2
SIRT1,EZH2
EZH2,SIRT1
SIRT1,PRMT1
SIRT1,FOXA2
FOXA2,SIRT1
SIRT1,RBBP7
RBBP7,SIRT1
SIRT1,HCFC1
HCFC1,SIRT1
MAPK12,SP1
SP1,MAPK12
MAPK12,MEF2C
MEF2C,MAPK12
MAPK12,TCF3
TCF3,MAPK12
MAPK12,TCF12
TCF12,MAPK12
MAPK12,ELK4
ELK4,MAPK12
MAPK12,MYC
MYC,MAPK12
MAPK12,MAPK1
MAPK1,MAPK12
MAPK12,JUN
JUN,MAPK12
MAPK12,FOSL1
FOSL1,MAPK12
MAPK12,FOS
FOS,MAPK12
MAPK12,TP53
TP53,MAPK12
MAPK12,CREB1
CREB1,MAPK12
MAPK12,FOSL2
FOSL2,MAPK12
MAPK12,CDH2
MAPK12,FOSB
FOSB,MAPK12
MAPK12,CCND1
CCND1,MAPK12
MAPK12,TCF4
TCF4,MAPK12
MAPK12,CEBPA
CEBPA,MAPK12
MAPK12,DDIT3
DDIT3,MAPK12
BMP4,SERPIND1
F2,SERPIND1
MEN1,SERPIND1
MAPK1,NRIP1
NRIP1,MAPK1
MAPK1,STMN1
MAPK1,JUND
JUND,MAPK1
MAPK1,NR3C1
NR3C1,MAPK1
MAPK1,YBX1
YBX1,MAPK1
MAPK1,HMGB1
MAPK1,AGT
MAPK1,PPIA
MAPK1,SND1
SND1,MAPK1
MAPK1,CCT8
MAPK1,EGFR
EGFR,MAPK1
MAPK1,RXRB
RXRB,MAPK1
MAPK1,SP1
SP1,MAPK1
MAPK1,FXR1
FXR1,MAPK1
MAPK1,SOS1
SOS1,MAPK1
MAPK1,SMAD3
SMAD3,MAPK1
MAPK1,SMAD2
SMAD2,MAPK1
MAPK1,ATF4
ATF4,MAPK1
MAPK1,TTR
MAPK1,STAT5B
STAT5B,MAPK1
MAPK1,FGB
MAPK1,RXRA
RXRA,MAPK1
MAPK1,FOXO1
FOXO1,MAPK1
MAPK1,ELK4
ELK4,MAPK1
MAPK1,TBX3
TBX3,MAPK1
MAPK1,GATA4
GATA4,MAPK1
MAPK1,CTSC
MAPK1,MYC
MYC,MAPK1
MAPK1,EGR1
EGR1,MAPK1
MAPK1,BCL6
BCL6,MAPK1
MAPK1,PKM
MAPK1,NCOR2
NCOR2,MAPK1
MAPK1,FHL2
FHL2,MAPK1
MAPK1,FN1
MAPK1,FABP5
MAPK1,JUN
JUN,MAPK1
MAPK1,FOSL1
FOSL1,MAPK1
MAPK1,PTGES3
MAPK1,RARG
RARG,MAPK1
MAPK1,YWHAQ
MAPK1,PA2G4
PA2G4,MAPK1
MAPK1,FOS
FOS,MAPK1
MAPK1,ANXA2
MAPK1,NFKB2
NFKB2,MAPK1
MAPK1,MITF
MITF,MAPK1
MAPK1,DUT
MAPK1,TP53
TP53,MAPK1
MAPK1,CREB1
CREB1,MAPK1
MAPK1,FOSL2
FOSL2,MAPK1
MAPK1,NFKB1
NFKB1,MAPK1
MAPK1,CCT2
MAPK1,F2
F2,MAPK1
MAPK1,TUBB
MAPK1,HNF4A
HNF4A,MAPK1
MAPK1,PARP1
PARP1,MAPK1
MAPK1,HSP90AB1
MAPK1,EGF
EGF,MAPK1
MAPK1,PPARA
PPARA,MAPK1
MAPK1,FGG
MAPK1,FGA
MAPK1,CCND1
CCND1,MAPK1
MAPK1,GJA1
MAPK1,PLAC8
MAPK1,ETS1
ETS1,MAPK1
MAPK1,CREG1
CREG1,MAPK1
MAPK1,PRKCE
MAPK1,GABPB1
GABPB1,MAPK1
MAPK1,SMAD1
SMAD1,MAPK1
MAPK1,RELA
RELA,MAPK1
MAPK1,THRB
THRB,MAPK1
MAPK1,TRIM24
TRIM24,MAPK1
MAPK1,RARA
RARA,MAPK1
MAPK1,KHDRBS1
KHDRBS1,MAPK1
RUVBL1,CENPM
CENPK,CENPM
HIST1H2BD,CENPM
RBBP4,CENPM
HIST2H2BE,CENPM
PTTG1,CENPM
RSF1,CENPM
HIST1H2BN,CENPM
ESPL1,CENPM
NPM1,CENPM
MCM4,CENPM
SMARCA5,CENPM
MCM2,CENPM
KNTC1,CENPM
MIS18BP1,CENPM
FOXM1,CENPM
RBBP7,CENPM
XBP1,CREB1
CREB1,XBP1
XBP1,ATF3
ATF3,XBP1
XBP1,ATF4
ATF4,XBP1
XBP1,ATF1
ATF1,XBP1
XBP1,DDIT3
DDIT3,XBP1
XBP1,PRDM1
PRDM1,XBP1
HMGXB4,RBBP4
RBBP4,HMGXB4
HMGXB4,MCM5
MCM5,HMGXB4
HMGXB4,BPTF
BPTF,HMGXB4
HMGXB4,RSF1
RSF1,HMGXB4
HMGXB4,BAZ1A
BAZ1A,HMGXB4
HMGXB4,NCOR1
NCOR1,HMGXB4
HMGXB4,SMARCA5
SMARCA5,HMGXB4
HMGXB4,SMARCE1
SMARCE1,HMGXB4
MCM5,CDK1
MCM5,MCM6
MCM6,MCM5
MCM5,TOP2A
MCM5,DBF4
MCM5,CDCA7
MCM5,DTL
MCM5,WDHD1
MCM5,TOP2B
TOP2B,MCM5
MCM5,POLD2
MCM5,RAD51
RAD51,MCM5
MCM5,ASPM
MCM5,CDC5L
CDC5L,MCM5
MCM5,TK1
MCM5,CDC20
MCM5,ORC2
ORC2,MCM5
MCM5,MSH2
MCM5,CCNA2
MCM5,CCNB2
MCM5,CDCA5
MCM5,MCM10
MCM5,GINS1
MCM5,BUB1B
MCM5,KIF20B
MCM5,SSRP1
SSRP1,MCM5
MCM5,TPX2
MCM5,MCM7
MCM7,MCM5
MCM5,CCNB1
MCM5,SPC25
MCM5,ORC1
MCM5,CLSPN
MCM5,AURKB
MCM5,NASP
MCM5,DUT
MCM5,RRM2
MCM5,TIMELESS
TIMELESS,MCM5
MCM5,MAD2L1
MCM5,FEN1
MCM5,SMARCA5
SMARCA5,MCM5
MCM5,CDC45
MCM5,MCM2
MCM2,MCM5
MCM5,KNTC1
KNTC1,MCM5
MCM5,UBE2C
MCM5,PLK1
MCM5,BUB1
MCM5,PCNA
MCM5,SMC4
MCM5,KPNA2
MCM5,MCM8
MCM8,MCM5
MCM5,RNASEH2A
MCM5,GINS2
MCM5,CHAF1A
CHAF1A,MCM5
MCM5,DNMT1
DNMT1,MCM5
MCM5,BIRC5
MCM5,RRM1
MCM5,PRIM1
MCM5,ESPL1
ESPL1,MCM5
MCM5,RFC1
RFC1,MCM5
MCM5,MCM3
MCM3,MCM5
MCM5,MCM4
MCM4,MCM5
MCM5,HELLS
MCM5,UHRF1
UHRF1,MCM5
L3MBTL2,RYBP
RYBP,L3MBTL2
L3MBTL2,SUMO2
L3MBTL2,TFDP1
TFDP1,L3MBTL2
L3MBTL2,PCGF6
PCGF6,L3MBTL2
L3MBTL2,EHMT2
EHMT2,L3MBTL2
L3MBTL2,CBX3
CBX3,L3MBTL2
L3MBTL2,YAF2
YAF2,L3MBTL2
L3MBTL2,RNF2
RNF2,L3MBTL2
L3MBTL2,EHMT1
EHMT1,L3MBTL2
BRD1,ING5
ING5,BRD1
BRD1,GATAD2B
GATAD2B,BRD1
BRD1,BRPF1
BRPF1,BRD1
BRD1,HDAC2
HDAC2,BRD1
BRD1,RBBP4
RBBP4,BRD1
BRD1,CHD4
CHD4,BRD1
BRD1,HDAC1
HDAC1,BRD1
BRD1,BRD7
BRD7,BRD1
BRD1,KAT7
KAT7,BRD1
BRD1,TP53
TP53,BRD1
BRD1,F2
F2,BRD1
BRD1,KAT6B
KAT6B,BRD1
BRD1,GATAD2A
GATAD2A,BRD1
BRD1,EP300
EP300,BRD1
BRD1,RBBP7
RBBP7,BRD1
PAPOLA,GTF2F1
GTF2F1,PAPOLA
PAPOLA,POLR2C
POLR2C,PAPOLA
PAPOLA,YBX1
YBX1,PAPOLA
PAPOLA,POLR2J
POLR2J,PAPOLA
PAPOLA,HNRNPR
HNRNPR,PAPOLA
PAPOLA,RNPS1
RNPS1,PAPOLA
PAPOLA,HNRNPK
HNRNPK,PAPOLA
PAPOLA,SUGP1
SUGP1,PAPOLA
PAPOLA,XRN2
PAPOLA,HNRNPA1
PAPOLA,ELAVL2
ELAVL2,PAPOLA
PAPOLA,POLR2H
POLR2H,PAPOLA
PAPOLA,SRSF5
SRSF5,PAPOLA
PAPOLA,CDC5L
CDC5L,PAPOLA
PAPOLA,SNRPB
SNRPB,PAPOLA
PAPOLA,WBP11
WBP11,PAPOLA
PAPOLA,PLRG1
PLRG1,PAPOLA
PAPOLA,POLR2E
POLR2E,PAPOLA
PAPOLA,HNRNPH1
PAPOLA,POLR2B
POLR2B,PAPOLA
PAPOLA,HNRNPUL1
HNRNPUL1,PAPOLA
PAPOLA,PQBP1
PQBP1,PAPOLA
PAPOLA,SNRPF
PAPOLA,RBMX
RBMX,PAPOLA
PAPOLA,SRSF6
SRSF6,PAPOLA
PAPOLA,SRSF1
SRSF1,PAPOLA
PAPOLA,DDX5
DDX5,PAPOLA
PAPOLA,SNRPA
PAPOLA,POLR2G
POLR2G,PAPOLA
PAPOLA,SRSF3
SRSF3,PAPOLA
PAPOLA,HNRNPD
HNRNPD,PAPOLA
PAPOLA,POLR2L
POLR2L,PAPOLA
PAPOLA,POLR2D
POLR2D,PAPOLA
PAPOLA,ALYREF
ALYREF,PAPOLA
PAPOLA,SARNP
PAPOLA,GTF2F2
GTF2F2,PAPOLA
PAPOLA,HNRNPA2B1
PAPOLA,POLR2I
POLR2I,PAPOLA
PAPOLA,SRSF2
SRSF2,PAPOLA
PAPOLA,POLR2F
POLR2F,PAPOLA
PAPOLA,POLR2K
POLR2K,PAPOLA
PAPOLA,SRRM1
SRRM1,PAPOLA
PAPOLA,SNRPD1
SNRPD1,PAPOLA
PAPOLA,SRSF9
SRSF9,PAPOLA
PAPOLA,SNW1
SNW1,PAPOLA
SNAPC1,POLR3D
POLR3D,SNAPC1
SNAPC1,GTF2F1
GTF2F1,SNAPC1
SNAPC1,SNAPC2
SNAPC2,SNAPC1
SNAPC1,POLR3K
SNAPC1,POLR2C
POLR2C,SNAPC1
SNAPC1,POLR2G
POLR2G,SNAPC1
SNAPC1,POLR2I
POLR2I,SNAPC1
SNAPC1,POU2F1
POU2F1,SNAPC1
SNAPC1,POLR2J
POLR2J,SNAPC1
SNAPC1,POLR3G
SNAPC1,GTF2A2
GTF2A2,SNAPC1
SNAPC1,POLR2F
POLR2F,SNAPC1
SNAPC1,TAF11
TAF11,SNAPC1
SNAPC1,POLR2E
POLR2E,SNAPC1
SNAPC1,TBP
TBP,SNAPC1
SNAPC1,POLR2K
POLR2K,SNAPC1
SNAPC1,TAF5
TAF5,SNAPC1
SNAPC1,BDP1
BDP1,SNAPC1
SNAPC1,SP1
SP1,SNAPC1
SNAPC1,POLR2L
POLR2L,SNAPC1
SNAPC1,ELL2
ELL2,SNAPC1
SNAPC1,POLR2D
POLR2D,SNAPC1
SNAPC1,SNAPC5
SNAPC5,SNAPC1
SNAPC1,POLR2B
POLR2B,SNAPC1
SNAPC1,POLR1C
POLR1C,SNAPC1
SNAPC1,ZC3H8
ZC3H8,SNAPC1
SNAPC1,POLR3E
POLR3E,SNAPC1
SNAPC1,TAF6
TAF6,SNAPC1
SNAPC1,POLR3H
POLR3H,SNAPC1
SNAPC1,ZNF143
ZNF143,SNAPC1
SNAPC1,TAF13
TAF13,SNAPC1
SNAPC1,POLR3F
POLR3F,SNAPC1
SNAPC1,POLR1D
POLR1D,SNAPC1
SNAPC1,GTF2F2
GTF2F2,SNAPC1
SNAPC1,GTF2A1
GTF2A1,SNAPC1
SNAPC1,GTF2E1
GTF2E1,SNAPC1
SNAPC1,POLR2H
POLR2H,SNAPC1
SUPT16H,GTF2F1
GTF2F1,SUPT16H
SUPT16H,CHD8
CHD8,SUPT16H
SUPT16H,SSRP1
SSRP1,SUPT16H
SUPT16H,POLR2C
POLR2C,SUPT16H
SUPT16H,POLR2G
POLR2G,SUPT16H
SUPT16H,HMGB1
SUPT16H,POLR2J
POLR2J,SUPT16H
SUPT16H,HIST2H2BE
HIST2H2BE,SUPT16H
SUPT16H,XRCC6
XRCC6,SUPT16H
SUPT16H,AFF4
AFF4,SUPT16H
SUPT16H,TP53
TP53,SUPT16H
SUPT16H,H2AFZ
SUPT16H,POLR2L
POLR2L,SUPT16H
SUPT16H,POLR2D
POLR2D,SUPT16H
SUPT16H,MLLT1
MLLT1,SUPT16H
SUPT16H,CTDP1
CTDP1,SUPT16H
SUPT16H,GTF2H2
GTF2H2,SUPT16H
SUPT16H,WDHD1
SUPT16H,ERCC2
ERCC2,SUPT16H
SUPT16H,SMARCC1
SMARCC1,SUPT16H
SUPT16H,SMARCA5
SMARCA5,SUPT16H
SUPT16H,FANCD2
SUPT16H,TOP2B
TOP2B,SUPT16H
SUPT16H,GTF2F2
GTF2F2,SUPT16H
SUPT16H,POLR2H
POLR2H,SUPT16H
SUPT16H,CTR9
CTR9,SUPT16H
SUPT16H,CHD1
CHD1,SUPT16H
SUPT16H,ARID1A
ARID1A,SUPT16H
SUPT16H,TCEB1
TCEB1,SUPT16H
SUPT16H,RUVBL1
RUVBL1,SUPT16H
SUPT16H,TCEB3
TCEB3,SUPT16H
SUPT16H,POLR2I
POLR2I,SUPT16H
SUPT16H,ATM
ATM,SUPT16H
SUPT16H,RXRA
RXRA,SUPT16H
SUPT16H,CHAF1A
CHAF1A,SUPT16H
SUPT16H,POLR2F
POLR2F,SUPT16H
SUPT16H,TCEB2
TCEB2,SUPT16H
SUPT16H,POLR2E
POLR2E,SUPT16H
SUPT16H,CHD4
CHD4,SUPT16H
SUPT16H,POLR2K
POLR2K,SUPT16H
SUPT16H,GTF2H3
GTF2H3,SUPT16H
SUPT16H,BAZ1B
BAZ1B,SUPT16H
SUPT16H,BRCA1
BRCA1,SUPT16H
SUPT16H,SMARCA4
SMARCA4,SUPT16H
SUPT16H,POLR2B
POLR2B,SUPT16H
SUPT16H,MCM3
MCM3,SUPT16H
SUPT16H,ERCC3
ERCC3,SUPT16H
SUPT16H,MCM4
MCM4,SUPT16H
SUPT16H,FANCI
SUPT16H,HMGB2
HMGB2,SUPT16H
SUPT16H,NELFCD
NELFCD,SUPT16H
SUPT16H,TCEA1
TCEA1,SUPT16H
SUPT16H,SMARCE1
SMARCE1,SUPT16H
SUPT16H,NAP1L1
SUPT16H,HMGB3
JUN,VRK1
TP53,VRK1
APEX1,YBX1
YBX1,APEX1
APEX1,XRCC5
XRCC5,APEX1
APEX1,EPAS1
EPAS1,APEX1
APEX1,POLD2
APEX1,SET
APEX1,MSH2
APEX1,HMGB2
HMGB2,APEX1
APEX1,NTHL1
APEX1,NME1
APEX1,XRCC3
XRCC3,APEX1
APEX1,XRCC6
XRCC6,APEX1
APEX1,TP53
TP53,APEX1
APEX1,FEN1
APEX1,PARP1
PARP1,APEX1
APEX1,ILF2
ILF2,APEX1
APEX1,PCNA
APEX1,RFC1
RFC1,APEX1
APEX1,NPM1
NPM1,APEX1
APEX1,NEIL2
NEIL2,APEX1
MYBL2,CDK1
MYBL2,TOP2A
MYBL2,CENPF
MYBL2,KMT2A
KMT2A,MYBL2
MYBL2,RBBP4
RBBP4,MYBL2
MYBL2,CDC20
MYBL2,CCNA2
MYBL2,CCNB2
MYBL2,HDAC1
HDAC1,MYBL2
MYBL2,BUB1B
MYBL2,E2F4
E2F4,MYBL2
MYBL2,FOXM1
FOXM1,MYBL2
MYBL2,TPX2
MYBL2,CCNB1
MYBL2,AURKB
MYBL2,E2F5
E2F5,MYBL2
MYBL2,RRM2
MYBL2,TFDP1
TFDP1,MYBL2
MYBL2,UBE2C
MYBL2,PLK1
MYBL2,BUB1
MYBL2,CCND1
CCND1,MYBL2
MYBL2,E2F3
E2F3,MYBL2
MYBL2,EP300
EP300,MYBL2
MYBL2,CEBPA
CEBPA,MYBL2
MYBL2,BIRC5
MYBL2,ESPL1
ESPL1,MYBL2
MYBL2,NPM1
NPM1,MYBL2
SALL4,JUN
JUN,SALL4
SALL4,POLR2C
POLR2C,SALL4
SALL4,POLR2G
POLR2G,SALL4
SALL4,GATAD2B
GATAD2B,SALL4
SALL4,MTA3
MTA3,SALL4
SALL4,HDAC5
HDAC5,SALL4
SALL4,POLR2J
POLR2J,SALL4
SALL4,TP53
TP53,SALL4
SALL4,HDAC3
HDAC3,SALL4
SALL4,EED
EED,SALL4
SALL4,POLR2L
POLR2L,SALL4
SALL4,POLR2D
POLR2D,SALL4
SALL4,NANOG
NANOG,SALL4
SALL4,SMAD2
SMAD2,SALL4
SALL4,HDAC2
HDAC2,SALL4
SALL4,PBX1
PBX1,SALL4
SALL4,POU5F1
POU5F1,SALL4
SALL4,EPAS1
EPAS1,SALL4
SALL4,SUZ12
SUZ12,SALL4
SALL4,LIN28A
LIN28A,SALL4
SALL4,GATAD2A
GATAD2A,SALL4
SALL4,POLR2H
POLR2H,SALL4
SALL4,SOX2
SOX2,SALL4
SALL4,BMI1
BMI1,SALL4
SALL4,DPPA4
SALL4,RBBP4
RBBP4,SALL4
SALL4,POLR2I
POLR2I,SALL4
SALL4,RNF2
RNF2,SALL4
SALL4,POLR2F
POLR2F,SALL4
SALL4,REST
REST,SALL4
SALL4,POLR2E
POLR2E,SALL4
SALL4,CHD4
CHD4,SALL4
SALL4,POLR2K
POLR2K,SALL4
SALL4,MAF1
MAF1,SALL4
SALL4,POLR2B
POLR2B,SALL4
SALL4,MYC
MYC,SALL4
SALL4,EGR1
EGR1,SALL4
SALL4,SALL1
SALL1,SALL4
SALL4,HDAC1
HDAC1,SALL4
SALL4,EZH2
EZH2,SALL4
SALL4,PRDM14
PRDM14,SALL4
SALL4,PHC1
SALL4,RBBP7
RBBP7,SALL4
SALL4,ZSCAN10
TRIB3,ATF4
ATF4,TRIB3
TRIB3,NCOA1
NCOA1,TRIB3
TRIB3,RXRA
RXRA,TRIB3
TRIB3,FABP1
TRIB3,TBL1X
TBL1X,TRIB3
TRIB3,PPARA
PPARA,TRIB3
TRIB3,MED1
MED1,TRIB3
TRIB3,NCOA6
NCOA6,TRIB3
TRIB3,DDIT3
DDIT3,TRIB3
TBL1X,APC
APC,TBL1X
TBL1X,AGT
TBL1X,HIST2H2BE
HIST2H2BE,TBL1X
TBL1X,APOA2
TBL1X,HDAC3
HDAC3,TBL1X
TBL1X,RXRB
RXRB,TBL1X
TBL1X,HDAC2
HDAC2,TBL1X
TBL1X,NCOR1
NCOR1,TBL1X
TBL1X,NR1H3
NR1H3,TBL1X
TBL1X,NCOA1
NCOA1,TBL1X
TBL1X,RXRA
RXRA,TBL1X
TBL1X,HMGCS2
TBL1X,FABP1
TBL1X,APOA5
TBL1X,APOA1
TBL1X,HDAC1
HDAC1,TBL1X
TBL1X,NCOR2
NCOR2,TBL1X
TBL1X,FHL2
FHL2,TBL1X
TBL1X,HIST1H2BD
HIST1H2BD,TBL1X
TBL1X,ABCA1
TBL1X,HDAC5
HDAC5,TBL1X
TBL1X,CACYBP
TBL1X,HIST1H2BN
HIST1H2BN,TBL1X
TBL1X,SMARCD2
SMARCD2,TBL1X
TBL1X,MAML1
MAML1,TBL1X
TBL1X,GRHL1
GRHL1,TBL1X
TBL1X,PPARA
PPARA,TBL1X
TBL1X,TCF4
TCF4,TBL1X
TBL1X,EP300
EP300,TBL1X
TBL1X,MED1
MED1,TBL1X
TBL1X,SULT2A1
TBL1X,NR1H2
NR1H2,TBL1X
TBL1X,NCOA6
NCOA6,TBL1X
TBL1X,ANKRD1
ANKRD1,TBL1X
TBL1X,SMARCB1
SMARCB1,TBL1X
TBL1X,SNW1
SNW1,TBL1X
TBL1X,RBPJ
RBPJ,TBL1X
PQBP1,GTF2F1
GTF2F1,PQBP1
PQBP1,DDX5
DDX5,PQBP1
PQBP1,POLR2C
POLR2C,PQBP1
PQBP1,SNRPA
PQBP1,YBX1
YBX1,PQBP1
PQBP1,POLR2G
POLR2G,PQBP1
PQBP1,SRSF3
SRSF3,PQBP1
PQBP1,POLR2J
POLR2J,PQBP1
PQBP1,HNRNPR
HNRNPR,PQBP1
PQBP1,RNPS1
RNPS1,PQBP1
PQBP1,HNRNPK
HNRNPK,PQBP1
PQBP1,HNRNPD
HNRNPD,PQBP1
PQBP1,POLR2L
POLR2L,PQBP1
PQBP1,POLR2D
POLR2D,PQBP1
PQBP1,SUGP1
SUGP1,PQBP1
PQBP1,ALYREF
