Gene1,Gene2
AKT1,BMI1
BMI1,AKT1
AKT1,MDM4
MDM4,AKT1
AKT1,ANXA5
AKT1,HSP90AB1
AKT1,RAC1
AKT1,RAC2
AKT1,YBX1
YBX1,AKT1
AKT1,NOTCH1
NOTCH1,AKT1
AKT1,RHOA
AKT1,ATM
ATM,AKT1
AKT1,HIF1A
HIF1A,AKT1
AKT1,EGR1
EGR1,AKT1
AKT1,ACTB
AKT1,MDM2
MDM2,AKT1
AKT1,MAPK1
MAPK1,AKT1
AKT1,TLR4
TLR4,AKT1
AKT1,BRPF1
BRPF1,AKT1
AKT1,VHL
VHL,AKT1
AKT1,SMAD2
SMAD2,AKT1
AKT1,CD44
AKT1,RPS6
AKT1,PARP1
PARP1,AKT1
AKT1,YY1
YY1,AKT1
AKT1,NPM1
AKT1,HSF1
HSF1,AKT1
AKT1,ILK
ILK,AKT1
AKT1,STAT1
STAT1,AKT1
AKT1,GNB1
AKT1,FLNA
AKT1,MAPK3
MAPK3,AKT1
AKT1,CREB1
CREB1,AKT1
AKT1,GNG5
AKT1,SIRT1
SIRT1,AKT1
AKT1,NCOR1
NCOR1,AKT1
YBX1,PABPC1
UPF1,PABPC1
FMR1,PABPC1
PWP1,PA2G4
PA2G4,PWP1
PWP1,DDX5
DDX5,PWP1
PWP1,DDX54
DDX54,PWP1
PWP1,MYBBP1A
MYBBP1A,PWP1
PWP1,CEBPZ
CEBPZ,PWP1
PWP1,ZNRD1
ZNRD1,PWP1
PWP1,REXO4
REXO4,PWP1
HLTF,CDC5L
CDC5L,HLTF
HLTF,S100A10
HLTF,ANXA2
HLTF,RAD51
RAD51,HLTF
SNRPD1,HNRNPK
HNRNPK,SNRPD1
SNRPD1,SNRPE
SNRPD1,SRSF6
SRSF6,SNRPD1
SNRPD1,GTF2F2
GTF2F2,SNRPD1
SNRPD1,RNPS1
RNPS1,SNRPD1
SNRPD1,PAPOLA
PAPOLA,SNRPD1
SNRPD1,POLR2C
POLR2C,SNRPD1
SNRPD1,DDX5
DDX5,SNRPD1
SNRPD1,TCERG1
TCERG1,SNRPD1
SNRPD1,CDC5L
CDC5L,SNRPD1
SNRPD1,POLR2B
POLR2B,SNRPD1
SNRPD1,SNRPG
SNRPD1,SRSF2
SRSF2,SNRPD1
SNRPD1,HNRNPA2B1
SNRPD1,SNRPB
SNRPB,SNRPD1
SNRPD1,POLR2D
POLR2D,SNRPD1
SNRPD1,POLR2F
POLR2F,SNRPD1
SNRPD1,HNRNPD
HNRNPD,SNRPD1
SNRPD1,SRSF3
SRSF3,SNRPD1
SNRPD1,YBX1
YBX1,SNRPD1
SNRPD1,GTF2F1
GTF2F1,SNRPD1
SNRPD1,SRRM1
SRRM1,SNRPD1
SNRPD1,XAB2
XAB2,SNRPD1
SNRPD1,SRSF5
SRSF5,SNRPD1
SNRPD1,WBP11
WBP11,SNRPD1
SNRPD1,DHX38
DHX38,SNRPD1
SNRPD1,HSPA8
SNRPD1,HNRNPU
SNRPD1,PLRG1
PLRG1,SNRPD1
SNRPD1,POLR2J
POLR2J,SNRPD1
SNRPD1,SRSF9
SRSF9,SNRPD1
SNRPD1,POLR2G
POLR2G,SNRPD1
SNRPD1,POLR2E
POLR2E,SNRPD1
SNRPD1,POLR2H
POLR2H,SNRPD1
SNRPD1,CTNNBL1
CTNNBL1,SNRPD1
SNRPD1,POLR2K
POLR2K,SNRPD1
SNRPD1,SRRT
SRRT,SNRPD1
SNRPD1,SF1
SF1,SNRPD1
SNRPD1,HNRNPF
SNRPD1,POLR2I
POLR2I,SNRPD1
SNRPD1,FUS
FUS,SNRPD1
GTF2F1,HNRNPK
HNRNPK,GTF2F1
GTF2F1,TAF4A
TAF4A,GTF2F1
GTF2F1,TAF7
TAF7,GTF2F1
GTF2F1,SRSF6
SRSF6,GTF2F1
GTF2F1,GTF2F2
GTF2F2,GTF2F1
GTF2F1,RNPS1
RNPS1,GTF2F1
GTF2F1,PAPOLA
PAPOLA,GTF2F1
GTF2F1,POLR2C
POLR2C,GTF2F1
GTF2F1,DDX5
DDX5,GTF2F1
GTF2F1,TAF10
TAF10,GTF2F1
GTF2F1,TAF6
TAF6,GTF2F1
GTF2F1,CDC5L
CDC5L,GTF2F1
GTF2F1,POLR2B
POLR2B,GTF2F1
GTF2F1,SRSF2
SRSF2,GTF2F1
GTF2F1,ZFP143
ZFP143,GTF2F1
GTF2F1,HNRNPA2B1
GTF2F1,SNRPB
SNRPB,GTF2F1
GTF2F1,POLR2D
POLR2D,GTF2F1
GTF2F1,POLR2F
POLR2F,GTF2F1
GTF2F1,TAF13
TAF13,GTF2F1
GTF2F1,HNRNPD
HNRNPD,GTF2F1
GTF2F1,SRSF3
SRSF3,GTF2F1
GTF2F1,TAF12
TAF12,GTF2F1
GTF2F1,TCEA1
TCEA1,GTF2F1
GTF2F1,GTF2A2
GTF2A2,GTF2F1
GTF2F1,TCEB3
TCEB3,GTF2F1
GTF2F1,TBPL1
TBPL1,GTF2F1
GTF2F1,YBX1
YBX1,GTF2F1
GTF2F1,POLR2A
POLR2A,GTF2F1
GTF2F1,TBP
TBP,GTF2F1
GTF2F1,INTS12
INTS12,GTF2F1
GTF2F1,TAF11
TAF11,GTF2F1
GTF2F1,SRRM1
SRRM1,GTF2F1
GTF2F1,TAF9
TAF9,GTF2F1
GTF2F1,XAB2
XAB2,GTF2F1
GTF2F1,TAF1
TAF1,GTF2F1
GTF2F1,SRSF5
SRSF5,GTF2F1
GTF2F1,TCEB2
TCEB2,GTF2F1
GTF2F1,ELL
ELL,GTF2F1
GTF2F1,WBP11
WBP11,GTF2F1
GTF2F1,SNAPC2
SNAPC2,GTF2F1
GTF2F1,DHX38
DHX38,GTF2F1
GTF2F1,HSPA8
GTF2F1,TCEB1
TCEB1,GTF2F1
GTF2F1,GTF2A1
GTF2A1,GTF2F1
GTF2F1,MED21
MED21,GTF2F1
GTF2F1,HNRNPU
GTF2F1,TIAL1
TIAL1,GTF2F1
GTF2F1,PLRG1
PLRG1,GTF2F1
GTF2F1,SSRP1
SSRP1,GTF2F1
GTF2F1,POLR2J
POLR2J,GTF2F1
GTF2F1,SRSF9
SRSF9,GTF2F1
GTF2F1,POLR2G
POLR2G,GTF2F1
GTF2F1,POLR2E
POLR2E,GTF2F1
GTF2F1,GTF2E2
GTF2E2,GTF2F1
GTF2F1,POLR2H
POLR2H,GTF2F1
GTF2F1,CTNNBL1
CTNNBL1,GTF2F1
GTF2F1,POLR2K
POLR2K,GTF2F1
GTF2F1,SRRT
SRRT,GTF2F1
GTF2F1,GTF2B
GTF2B,GTF2F1
GTF2F1,SF1
SF1,GTF2F1
GTF2F1,AFF4
AFF4,GTF2F1
GTF2F1,SNAPC5
SNAPC5,GTF2F1
GTF2F1,HNRNPF
GTF2F1,POLR2I
POLR2I,GTF2F1
GTF2F1,YEATS4
YEATS4,GTF2F1
GTF2F1,FUS
FUS,GTF2F1
BAZ1B,TOP2B
TOP2B,BAZ1B
BAZ1B,DEK
DEK,BAZ1B
BAZ1B,POLR2F
POLR2F,BAZ1B
BAZ1B,MYBBP1A
MYBBP1A,BAZ1B
BAZ1B,SMARCC2
SMARCC2,BAZ1B
BAZ1B,SMARCA2
SMARCA2,BAZ1B
BAZ1B,ERCC6
ERCC6,BAZ1B
BAZ1B,SMARCA4
SMARCA4,BAZ1B
BAZ1B,POLR2E
POLR2E,BAZ1B
BAZ1B,ZNRD1
ZNRD1,BAZ1B
BAZ1B,POLR2K
POLR2K,BAZ1B
BAZ1B,H2AFV
BAZ1B,POLR1C
POLR1C,BAZ1B
BAZ1B,TBP
TBP,BAZ1B
BAZ1B,ACTB
BAZ1B,SMARCA5
SMARCA5,BAZ1B
BAZ1B,SMARCC1
SMARCC1,BAZ1B
BAZ1B,POLR2H
POLR2H,BAZ1B
BAZ1B,H3F3B
BAZ1B,H3F3A
BAZ1B,SMARCD2
SMARCD2,BAZ1B
IRF3,CREBBP
CREBBP,IRF3
IRF3,UBC
IRF3,DDX58
DDX58,IRF3
IRF3,IFI204
IFI204,IRF3
IRF3,TRIM25
TRIM25,IRF3
IRF3,STAT2
STAT2,IRF3
IRF3,TNF
TNF,IRF3
IRF3,TLR4
TLR4,IRF3
IRF3,MYD88
MYD88,IRF3
IRF3,CTNNB1
CTNNB1,IRF3
IRF3,JUN
JUN,IRF3
IRF3,STAT1
STAT1,IRF3
IRF3,IKBKG
IKBKG,IRF3
IRF3,RPS27A
EIF5B,RPS11
RNPS1,RPS11
POLR2C,RPS11
POLR2B,RPS11
POLR1C,RPS11
POLR2F,RPS11
POLR2A,RPS11
UPF1,RPS11
BTF3,RPS11
FOSB,HDAC2
HDAC2,FOSB
FOSB,FOS
FOS,FOSB
FOSB,EGR2
EGR2,FOSB
FOSB,JUN
JUN,FOSB
FOSB,MAPK14
MAPK14,FOSB
FOSB,NR4A1
NR4A1,FOSB
FOSB,JUNB
JUNB,FOSB
FOSB,HDAC1
HDAC1,FOSB
FOSB,FOSL2
FOSL2,FOSB
FOSB,EGR1
EGR1,FOSB
FOSB,NR4A2
NR4A2,FOSB
FOSB,MAPK9
MAPK9,FOSB
FOSB,DUSP1
FOSB,SIRT1
SIRT1,FOSB
MXI1,SIN3A
SIN3A,MXI1
MXI1,SIN3B
SIN3B,MXI1
XBP1,CALR
ATF6,CALR
PA2G4,RPL8
POLR2C,RPL8
NME2,RPL8
EIF5B,RPL8
RNPS1,RPL8
POLR2B,RPL8
POLR1C,RPL8
UPF1,RPL8
BTF3,RPL8
STAT5A,CSF2RB
STAT5A,PIAS4
PIAS4,STAT5A
STAT5A,CREBBP
CREBBP,STAT5A
STAT5A,BRWD1
BRWD1,STAT5A
STAT5A,TRP53
TRP53,STAT5A
STAT5A,PIAS1
PIAS1,STAT5A
STAT5A,IRF9
IRF9,STAT5A
STAT5A,STAT3
STAT3,STAT5A
STAT5A,HDAC1
HDAC1,STAT5A
STAT5A,STAT2
STAT2,STAT5A
STAT5A,MAPK1
MAPK1,STAT5A
STAT5A,PIAS2
PIAS2,STAT5A
STAT5A,BCL6
BCL6,STAT5A
STAT5A,STAT6
STAT6,STAT5A
STAT5A,STAT1
STAT1,STAT5A
STAT5A,MAPK3
MAPK3,STAT5A
DNMT1,RB1
RB1,DNMT1
DNMT1,HDAC2
HDAC2,DNMT1
DNMT1,SIN3A
SIN3A,DNMT1
DNMT1,RBBP4
RBBP4,DNMT1
DNMT1,UBC
DNMT1,EZH2
EZH2,DNMT1
DNMT1,MCM2
MCM2,DNMT1
DNMT1,EED
EED,DNMT1
DNMT1,TRP53
TRP53,DNMT1
DNMT1,SETDB1
SETDB1,DNMT1
DNMT1,CTCF
CTCF,DNMT1
DNMT1,AEBP2
AEBP2,DNMT1
DNMT1,STAT3
STAT3,DNMT1
DNMT1,JARID2
JARID2,DNMT1
DNMT1,RPS27A
DNMT1,MTF2
MTF2,DNMT1
DNMT1,BMI1
BMI1,DNMT1
DNMT1,RBBP7
RBBP7,DNMT1
DNMT1,HDAC1
HDAC1,DNMT1
DNMT1,H2AFV
DNMT1,MCM5
MCM5,DNMT1
DNMT1,RBL1
RBL1,DNMT1
DNMT1,UBB
DNMT1,ATM
ATM,DNMT1
DNMT1,SMARCA5
SMARCA5,DNMT1
DNMT1,SUZ12
SUZ12,DNMT1
DNMT1,RBL2
RBL2,DNMT1
DNMT1,TTF1
TTF1,DNMT1
DNMT1,EHMT2
EHMT2,DNMT1
DNMT1,PARP1
PARP1,DNMT1
DNMT1,DNMT3A
DNMT3A,DNMT1
DNMT1,MBD2
MBD2,DNMT1
DNMT1,H3F3B
DNMT1,H3F3A
DNMT1,SIRT1
SIRT1,DNMT1
PHB2,NDUFB8
PHB2,HDAC1
HDAC1,PHB2
IRF5,MYD88
MYD88,IRF5
IRF5,ITGAX
SIN3B,HDAC2
HDAC2,SIN3B
SIN3B,SIN3A
SIN3A,SIN3B
SIN3B,RBBP4
RBBP4,SIN3B
SIN3B,CREBBP
CREBBP,SIN3B
SIN3B,NCOA1
NCOA1,SIN3B
SIN3B,CHD4
CHD4,SIN3B
SIN3B,CBFB
CBFB,SIN3B
SIN3B,RUNX1
RUNX1,SIN3B
SIN3B,ING1
ING1,SIN3B
SIN3B,NCOR2
NCOR2,SIN3B
SIN3B,NCOA2
NCOA2,SIN3B
SIN3B,MED1
MED1,SIN3B
SIN3B,RBBP7
RBBP7,SIN3B
SIN3B,HDAC1
HDAC1,SIN3B
SIN3B,REST
REST,SIN3B
SIN3B,H2AFV
SIN3B,TBL1X
TBL1X,SIN3B
SIN3B,HDAC3
HDAC3,SIN3B
SIN3B,KDM5A
KDM5A,SIN3B
SIN3B,HDAC4
HDAC4,SIN3B
SIN3B,ARID4B
ARID4B,SIN3B
SIN3B,H3F3B
SIN3B,H3F3A
SIN3B,ING2
ING2,SIN3B
SIN3B,HBP1
HBP1,SIN3B
SIN3B,NCOR1
NCOR1,SIN3B
EIF5B,RPS5
RNPS1,RPS5
POLR2C,RPS5
POLR2B,RPS5
POLR1C,RPS5
POLR2F,RPS5
UPF1,RPS5
POLR2E,HNRNPK
HNRNPK,POLR2E
POLR2E,SNRPE
POLR2E,TAF4A
TAF4A,POLR2E
POLR2E,TAF7
TAF7,POLR2E
POLR2E,DDB1
DDB1,POLR2E
POLR2E,MED1
MED1,POLR2E
POLR2E,SRSF6
SRSF6,POLR2E
POLR2E,GTF2F2
GTF2F2,POLR2E
POLR2E,RNPS1
RNPS1,POLR2E
POLR2E,PAPOLA
PAPOLA,POLR2E
POLR2E,POLR2C
POLR2C,POLR2E
POLR2E,DDX5
DDX5,POLR2E
POLR2E,TAF10
TAF10,POLR2E
POLR2E,RBBP4
RBBP4,POLR2E
POLR2E,CREBBP
CREBBP,POLR2E
POLR2E,TAF6
TAF6,POLR2E
POLR2E,RBBP7
RBBP7,POLR2E
POLR2E,CDC5L
CDC5L,POLR2E
POLR2E,PKNOX1
PKNOX1,POLR2E
POLR2E,POLR2B
POLR2B,POLR2E
POLR2E,NME2
NME2,POLR2E
POLR2E,MED6
MED6,POLR2E
POLR2E,COPS5
COPS5,POLR2E
POLR2E,MED14
MED14,POLR2E
POLR2E,POLR1D
POLR1D,POLR2E
POLR2E,SRSF2
SRSF2,POLR2E
POLR2E,UBC
POLR2E,ZFP143
ZFP143,POLR2E
POLR2E,HNRNPA2B1
POLR2E,H2AFV
POLR2E,MED31
MED31,POLR2E
POLR2E,POLR1C
POLR1C,POLR2E
POLR2E,RUVBL2
RUVBL2,POLR2E
POLR2E,DEK
DEK,POLR2E
POLR2E,COPS2
COPS2,POLR2E
POLR2E,SNRPB
SNRPB,POLR2E
POLR2E,POLR2D
POLR2D,POLR2E
POLR2E,POLR2F
POLR2F,POLR2E
POLR2E,EZH2
EZH2,POLR2E
POLR2E,TAF13
TAF13,POLR2E
POLR2E,HNRNPD
HNRNPD,POLR2E
POLR2E,SRSF3
SRSF3,POLR2E
POLR2E,TAF12
TAF12,POLR2E
POLR2E,UBTF
UBTF,POLR2E
POLR2E,GTF3C3
GTF3C3,POLR2E
POLR2E,TCEA1
TCEA1,POLR2E
POLR2E,GTF2A2
GTF2A2,POLR2E
POLR2E,EGR2
EGR2,POLR2E
POLR2E,MYBBP1A
MYBBP1A,POLR2E
POLR2E,TCEB3
TCEB3,POLR2E
POLR2E,HDAC3
HDAC3,POLR2E
POLR2E,TBPL1
TBPL1,POLR2E
POLR2E,YBX1
YBX1,POLR2E
POLR2E,POLR2A
POLR2A,POLR2E
POLR2E,POLR3K
POLR3K,POLR2E
POLR2E,ASH2L
ASH2L,POLR2E
POLR2E,MAFB
MAFB,POLR2E
POLR2E,BRF1
BRF1,POLR2E
POLR2E,TBP
TBP,POLR2E
POLR2E,INTS12
INTS12,POLR2E
POLR2E,TAF11
TAF11,POLR2E
POLR2E,SRRM1
SRRM1,POLR2E
POLR2E,TAF9
TAF9,POLR2E
POLR2E,RFC1
RFC1,POLR2E
POLR2E,ACTB
POLR2E,SMARCA5
SMARCA5,POLR2E
POLR2E,XAB2
XAB2,POLR2E
POLR2E,TAF1
TAF1,POLR2E
POLR2E,SRSF5
SRSF5,POLR2E
POLR2E,TCEB2
TCEB2,POLR2E
POLR2E,NCOA3
NCOA3,POLR2E
POLR2E,EED
EED,POLR2E
POLR2E,ELL
ELL,POLR2E
POLR2E,WBP11
WBP11,POLR2E
POLR2E,SUZ12
SUZ12,POLR2E
POLR2E,SNAPC2
SNAPC2,POLR2E
POLR2E,RBX1
POLR2E,POLR3C
POLR3C,POLR2E
POLR2E,DHX38
DHX38,POLR2E
POLR2E,RPS17
POLR2E,HSPA8
POLR2E,TCEB1
TCEB1,POLR2E
POLR2E,GTF2A1
GTF2A1,POLR2E
POLR2E,ERCC6
ERCC6,POLR2E
POLR2E,MED21
MED21,POLR2E
POLR2E,HNRNPU
POLR2E,RUVBL1
RUVBL1,POLR2E
POLR2E,TTF1
TTF1,POLR2E
POLR2E,TIAL1
TIAL1,POLR2E
POLR2E,PLRG1
PLRG1,POLR2E
POLR2E,BDP1
BDP1,POLR2E
POLR2E,SSRP1
SSRP1,POLR2E
POLR2E,YY1
YY1,POLR2E
POLR2E,POLR2J
POLR2J,POLR2E
POLR2E,SRSF9
SRSF9,POLR2E
POLR2E,POLR2G
POLR2G,POLR2E
POLR2E,ZNRD1
ZNRD1,POLR2E
POLR2E,GTF2E2
GTF2E2,POLR2E
POLR2E,POLR2H
POLR2H,POLR2E
POLR2E,CTNNBL1
CTNNBL1,POLR2E
POLR2E,POLR2K
POLR2K,POLR2E
POLR2E,JUN
JUN,POLR2E
POLR2E,SRRT
SRRT,POLR2E
POLR2E,GTF2B
GTF2B,POLR2E
POLR2E,H3F3B
POLR2E,H3F3A
POLR2E,SF1
SF1,POLR2E
POLR2E,AFF4
AFF4,POLR2E
POLR2E,SNAPC5
SNAPC5,POLR2E
POLR2E,HNRNPF
POLR2E,POLR2I
POLR2I,POLR2E
POLR2E,RPS27A
POLR2E,FUS
FUS,POLR2E
POLR2E,NCOR1
NCOR1,POLR2E
MAPK14,CDC5L
CDC5L,MAPK14
MAPK14,FOS
FOS,MAPK14
MAPK14,SMAD4
SMAD4,MAPK14
MAPK14,MAP3K7
MAP3K7,MAPK14
MAPK14,TNF
TNF,MAPK14
MAPK14,RNF2
RNF2,MAPK14
MAPK14,MITF
MITF,MAPK14
MAPK14,NCOA3
NCOA3,MAPK14
MAPK14,TRP53
TRP53,MAPK14
MAPK14,MCL1
MAPK14,CYBA
MAPK14,TCF12
TCF12,MAPK14
MAPK14,CDC42
MAPK14,MEF2A
MEF2A,MAPK14
MAPK14,CEBPB
CEBPB,MAPK14
MAPK14,STAT3
STAT3,MAPK14
MAPK14,CTNNB1
CTNNB1,MAPK14
MAPK14,JUN
JUN,MAPK14
MAPK14,RUNX2
RUNX2,MAPK14
MAPK14,CYBB
MAPK14,ATF2
ATF2,MAPK14
MAPK14,BMI1
BMI1,MAPK14
MAPK14,JUNB
JUNB,MAPK14
MAPK14,H2AFV
MAPK14,RAC1
MAPK14,FOSL2
FOSL2,MAPK14
MAPK14,RHOA
MAPK14,DDIT3
DDIT3,MAPK14
MAPK14,MAPK1
MAPK1,MAPK14
MAPK14,TLR4
TLR4,MAPK14
MAPK14,SMAD2
SMAD2,MAPK14
MAPK14,MAPK9
MAPK9,MAPK14
MAPK14,MYD88
MYD88,MAPK14
MAPK14,GNAI2
MAPK14,HSF1
HSF1,MAPK14
MAPK14,STAT1
STAT1,MAPK14
MAPK14,GNB1
MAPK14,H3F3B
